trade_date,next_trade_date,open_915,high_day,low_day,close_1515,volume_day,ma10,ma20,ma50,ma90,ma5d_slope,ma10d_slope,ma20_slope,ma50_slope,rsi14,atr14,bb_upper,bb_middle,bb_lower,bb_width,ret_5d,ret_10d,ret_20d,ret_60d,volatility_10d,volatility_20d,volume_10d,volume_20d,trend_efficiency_5d,trend_efficiency_10d,trend_efficiency_20d,recent_high_5d,recent_low_5d,recent_high_10d,recent_low_10d,recent_high_20d,recent_low_20d,range_position_5d,range_position_10d,selected_regime,hindsight_regime,expected_regime_lag2,strategy_MaTrend_001_signal,strategy_RsiMeanReversion_6040_signal,strategy_expectedTrendDown_HighVolBreak_Put_signal,strategy_expectedTrendDown_RSIWeakness_Put_signal,strategy_expectedTrendDown_RallyFailing_Put_signal,strategy_expectedTrendDown_RangeReject_Put_signal,strategy_expectedTrendUp_DipStabilizing_Call_signal,strategy_expectedTrendUp_RSIRecovery_Call_signal,strategy_expectedTrendUp_RangeRecovery_Call_signal,strategy_trendUpRangeBreakout_signal,final_raw_signal,next_open,next_high,next_low,next_close,next_return_pct,actual_trade_label
2025-07-25,2025-07-28,25010.35,25010.35,24806.35,24837.0,69729,25084.06,25259.2075,25056.164,24475.135,-0.002384,-0.00671,-0.002325,0.000814,40.6335,198.3776,25672.6862,25259.2075,24845.7288,0.032739,-0.005263,-0.012439,-0.031235,0.020138,0.005235,0.00431,57227.5,60317.35,0.189337,0.275651,0.419971,25246.25,24882.3,25322.45,24882.3,25669.35,24882.3,-0.124468,-0.102919,RANGE,RANGE,TREND_DOWN,PUT,NO_POSITION,PUT,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,24782.45,24889.2,24646.6,24680.9,-0.6285,PUT
2025-08-08,2025-08-11,24544.25,24585.5,24337.5,24363.3,79655,24659.67,24871.865,25026.703,24629.3556,-0.006345,-0.009498,-0.008094,-0.001004,33.5703,209.496,25364.3554,24871.865,24379.3746,0.039602,-0.008225,-0.019072,-0.031275,-0.026239,0.005437,0.005206,73207.2,65217.35,0.360321,0.401203,0.339667,24784.15,24344.15,25010.35,24344.15,25322.45,24344.15,0.043523,0.028745,RANGE,TREND_UP,TREND_UP,PUT,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,NO_POSITION,CALL,NO_POSITION,CALL,24371.5,24600.85,24347.45,24585.05,0.9102,CALL
2025-08-12,2025-08-13,24563.35,24702.6,24465.65,24487.4,83389,24616.715,24811.5825,25022.97,24657.96,-0.007729,-0.008119,-0.007308,-0.00079,39.5627,214.3686,25305.731,24811.5825,24317.434,0.039832,-0.006578,-0.013444,-0.028116,-0.007961,0.005884,0.005599,72323.9,66522.6,0.249634,0.277206,0.288672,24733.1,24337.5,24956.5,24337.5,25255.3,24337.5,0.378918,0.242165,RANGE,RANGE,TREND_UP,PUT,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,NO_POSITION,CALL,NO_POSITION,CALL,24586.2,24664.55,24535.25,24619.35,0.5388,CALL
2025-09-02,2025-09-03,24653.0,24756.1,24522.35,24579.6,74911,24779.725,24695.1625,24984.519,24861.9522,-0.016873,-0.001433,-0.001711,-0.001338,44.3512,205.091,25101.9962,24695.1625,24288.3288,0.032948,-0.015546,-0.011953,0.00058,-0.016936,0.0063,0.006275,72522.1,70631.1,0.494742,0.228265,0.00554,25021.55,24404.7,25153.65,24404.7,25153.65,24337.5,0.283537,0.233527,RANGE,TREND_UP,TREND_UP,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,NO_POSITION,NO_POSITION,24616.5,24737.05,24533.2,24715.05,0.5511,CALL
2025-09-30,2025-10-01,24691.95,24731.8,24587.7,24611.1,64496,25030.12,24976.71,24847.976,24955.8972,-0.020595,-0.006164,0.002014,-0.001384,38.1252,175.9753,25474.0075,24976.71,24479.4125,0.039821,-0.022186,-0.024882,0.001282,-0.03338,0.004211,0.004336,67399.4,60731.55,1.0,0.62989,0.01804,25261.9,24606.2,25448.55,24606.2,25448.55,24522.35,0.007473,0.005817,RANGE,TREND_UP,TREND_UP,CALL,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,NO_POSITION,CALL,24620.55,24867.95,24605.95,24836.3,0.915,CALL
2025-10-03,2025-10-06,24759.55,24904.8,24747.55,24894.25,60919,24927.79,24990.77,24839.555,24954.8217,-0.01604,-0.010106,0.001102,-0.001457,49.3271,180.3156,25466.5549,24990.77,24514.9851,0.038077,0.000137,-0.020821,0.006467,-0.024616,0.005179,0.004664,71284.0,60632.95,0.00604,0.483138,0.085327,25092.7,24587.7,25448.55,24587.7,25448.55,24587.7,0.60703,0.356102,RANGE,TREND_UP,TREND_UP,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,CALL,CALL,NO_POSITION,NO_POSITION,24916.55,25095.95,24881.65,25077.65,0.7367,CALL
2025-10-08,2025-10-09,25079.75,25192.5,25008.5,25046.15,73678,24881.11,25033.2375,24841.817,24964.77,0.008996,-0.005953,0.002263,-0.000248,53.7674,180.348,25479.454,25033.2375,24587.021,0.03565,0.017677,-0.004901,0.00714,-0.004123,0.005815,0.004911,74736.1,62693.35,0.777778,0.110356,0.088051,25220.9,24587.7,25261.9,24587.7,25448.55,24587.7,0.724021,0.679991,RANGE,TREND_UP,TREND_UP,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,CALL,NO_POSITION,NO_POSITION,NO_POSITION,25074.3,25199.25,25024.3,25181.8,0.5416,CALL
2025-10-14,2025-10-15,25277.55,25310.35,25060.55,25145.5,91414,25041.375,25067.1475,24876.109,24989.3233,0.01091,0.005943,0.00171,0.001549,55.0587,181.4141,25535.3911,25067.1475,24598.9039,0.037359,0.001482,0.020727,0.003044,0.001356,0.004365,0.005031,70338.4,68649.55,0.084316,0.530659,0.036242,25330.75,25008.5,25330.75,24587.7,25448.55,24587.7,0.425136,0.75069,RANGE,TREND_UP,TREND_UP,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25181.95,25365.15,25159.35,25323.55,0.7081,CALL
2025-10-15,2025-10-16,25181.95,25365.15,25159.35,25323.55,77119,25112.62,25071.37,24891.273,24992.8844,0.00961,0.009305,0.001523,0.001991,60.506,184.1983,25547.2016,25071.37,24595.5384,0.037958,0.011076,0.028948,0.003346,0.014224,0.004485,0.005053,71600.7,69500.05,0.497936,0.638139,0.039958,25330.75,25008.5,25330.75,24587.7,25448.55,24587.7,0.977657,0.99031,RANGE,TREND_UP,TREND_UP,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,PUT,25394.9,25625.4,25376.85,25585.3,1.0336,CALL
2025-10-17,2025-10-20,25546.85,25781.5,25508.6,25709.85,102562,25269.08,25098.435,24929.73,25004.97,0.010281,0.013477,0.001627,0.00276,69.3362,198.2913,25663.7887,25098.435,24533.0813,0.045051,0.016788,0.032763,0.011259,0.025895,0.00471,0.00554,76477.3,73880.65,0.602812,0.668744,0.123637,25625.4,25060.55,25625.4,24747.55,25625.4,24587.7,1.149509,1.096201,RANGE,RANGE,TREND_UP,CALL,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,PUT,25824.6,25926.2,25788.5,25843.15,0.5185,CALL
2025-11-11,2025-11-12,25617.0,25715.8,25449.25,25694.95,87556,25722.235,25678.9125,25243.475,25114.0172,-0.011476,-0.00578,0.004243,0.002967,56.0482,203.6079,26161.6423,25678.9125,25196.1827,0.037597,-0.002655,-0.010441,0.016199,0.049313,0.004494,0.004932,77930.2,80051.55,0.144395,0.272654,0.19076,25803.1,25318.45,26097.85,25318.45,26104.2,25060.55,0.776849,0.483064,RANGE,CHOPPY,TREND_UP,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,NO_POSITION,NO_POSITION,25834.3,25934.55,25781.15,25875.8,0.7038,CALL
2026-01-07,2026-01-08,26143.1,26187.15,26067.9,26140.75,54920,26123.98,26039.0375,25971.74,25594.8711,0.006528,0.004208,0.001998,0.001296,53.9526,169.6778,26348.7999,26039.0375,25729.2751,0.023792,0.000427,-0.001391,0.011653,0.03383,0.004114,0.004351,65102.3,62411.2,0.02883,0.044619,0.169214,26373.2,25969.0,26373.2,25878.0,26373.2,25693.25,0.424913,0.530594,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,26106.5,26133.2,25858.45,25876.85,-1.0095,PUT
2026-01-08,2026-01-09,26106.5,26133.2,25858.45,25876.85,106366,26097.455,26044.98,25970.553,25610.9822,0.004422,0.001926,0.001917,0.001016,44.1007,177.7226,26337.0007,26044.98,25752.9593,0.022424,-0.010315,-0.010146,0.004614,0.025746,0.005191,0.004907,71325.9,64407.9,0.425596,0.253913,0.060587,26373.2,26067.9,26373.2,25878.0,26373.2,25693.25,-0.625778,-0.002322,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,PUT,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25840.4,25940.6,25623.0,25683.3,-0.748,PUT
2026-02-18,2026-02-19,25752.65,25828.05,25645.15,25819.35,58126,25759.86,25530.6125,25753.016,25791.7628,-0.004547,0.00691,0.002297,-0.001313,53.9073,284.4642,26166.2052,25530.6125,24895.0198,0.049791,-0.005182,0.001682,0.026308,-0.005399,0.006412,0.009443,66267.7,94569.35,0.161853,0.033993,0.185749,26009.4,25372.7,26009.4,25372.7,26341.2,24571.75,0.701508,0.701508,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,PUT,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25873.35,25885.3,25388.75,25454.35,-1.4137,PUT
2026-02-20,2026-02-23,25406.55,25663.55,25379.75,25571.25,106237,25728.77,25564.965,25741.575,25797.4617,-0.006057,0.001263,0.003807,-0.001184,48.3462,298.4817,26150.3752,25564.965,24979.5548,0.045798,0.003932,-0.004766,0.020863,-0.024195,0.007879,0.009758,71250.7,91145.35,0.120641,0.077842,0.142344,25885.3,25372.7,26009.4,25372.7,26341.2,24571.75,0.387339,0.311842,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25678.4,25771.45,25609.35,25713.0,0.5543,CALL
2026-02-23,2026-02-24,25678.4,25771.45,25609.35,25713.0,123117,25713.34,25591.845,25737.864,25803.7672,-0.004398,-0.001646,0.00467,-0.001056,51.548,291.4658,26152.0643,25591.845,25031.6257,0.043781,0.001178,-0.005965,0.021354,-0.01917,0.007764,0.009769,77200.3,91991.0,0.03979,0.100117,0.145833,25885.3,25372.7,26009.4,25372.7,26341.2,24571.75,0.66387,0.534475,RANGE,TREND_DOWN,TREND_DOWN,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25641.8,25641.8,25327.6,25424.65,-1.1214,PUT
2026-02-26,2026-02-27,25556.3,25572.95,25400.95,25496.55,60088,25584.09,25607.915,25707.251,25801.3783,-0.003628,-0.006096,0.002705,-0.001478,47.1141,284.5018,26145.9763,25607.915,25069.8537,0.042023,0.001658,-0.012037,0.006947,-0.020576,0.008325,0.009993,83674.6,86091.5,0.068185,0.186213,0.047478,25885.3,25327.6,25906.7,25327.6,26341.2,24571.75,0.302941,0.291746,RANGE,TREND_DOWN,TREND_DOWN,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,25459.85,25476.4,25141.3,25178.65,-1.2468,PUT
2026-02-27,2026-03-02,25459.85,25476.4,25141.3,25178.65,91968,25554.845,25625.575,25694.453,25793.995,-0.007468,-0.00676,0.002371,-0.001831,40.6509,289.5446,26075.7593,25625.575,25175.3907,0.035136,-0.015353,-0.011482,0.014227,-0.031069,0.008239,0.009354,83935.2,90689.9,0.478839,0.177237,0.100125,25771.45,25327.6,25885.3,25327.6,26341.2,24571.75,-0.335586,-0.267079,RANGE,TREND_DOWN,TREND_DOWN,PUT,NO_POSITION,NO_POSITION,PUT,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,24659.25,24989.35,24603.5,24865.7,-1.2429,PUT
2026-03-02,2026-03-04,24659.25,24989.35,24603.5,24865.7,140871,25473.14,25614.44,25675.456,25782.8517,-0.014307,-0.009341,0.000883,-0.002425,35.4879,309.9368,26124.2836,25614.44,25104.5964,0.039809,-0.032952,-0.031813,-0.008877,-0.044867,0.008211,0.009494,91536.1,90626.15,0.854909,0.466526,0.062248,25771.45,25141.3,25885.3,25141.3,26341.2,24679.4,-0.437356,-0.37043,RANGE,TREND_DOWN,TREND_DOWN,PUT,CALL,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,NO_POSITION,CALL,24388.8,24602.45,24305.4,24480.5,-1.5491,PUT
